"id","Default","en","ru"
"PrevTBTreatmentOutcome.SHIFT_CATIV","Shifted to Cat IV","Shifted to Cat IV","Переведен в Кат IV"
"PrevTBTreatmentOutcome.TRANSFERRED_OUT","Transferred out","Transferred out","Перевелся"
"PrevTBTreatmentOutcome.UNKNOWN","Unknown","Unknown","Нет информации"
"Product","Product","Product","Продукт"
"ProductGroup","Group","Group","Группа"
"ProductGroup.code","Group's code","Group's code","Код группы"
"Regimen","Treatment Regimen","Treatment Regimen","Схема лечения"
"Regimen.add","Add Medicine","Add Medicine","Добавить  препарат"
"Regimen.caseClassification","Target classification","Target classification","Классификация целей/задач"
"Regimen.days","Duration (days)","Duration (days)","Продолжительность (дни) "
"Regimen.doseunit","Default dose unit","Default dose unit","Доза по умолчанию"
"Regimen.frequency","Default Frequency","Default Frequency","Частота приема по умолчанию."
"Regimen.iniday","Starting consumption day","Starting consumption day","День начала потребления лекарства "
"Regimen.length","Duration (months)","Duration (months)","Продолжительность (в месяцах)"
"Regimen.months","Duration (months)","Duration (months)","Продолжительность (в месяцах)"
"Regimen.monthsContinuousPhase","Continuation phase duration (months)","Continuation phase duration (months)","Фаза продолжения (в месяцах)"
"Regimen.monthsIntensivePhase","Intensive phase duration (months)","Intensive phase duration (months)","Интенсивная фаза (в месяцах)"
"Regimen.phase","Regimen phase","Regimen phase","Фаза лечения"
"RegimenPhase","Regimen Phase","Regimen Phase","Фаза лечения"
"RegimenPhase.CONTINUOUS","Continuation Phase","Continuation Phase","Фаза продолжения"
"RegimenPhase.INTENSIVE","Intensive Phase","Intensive Phase","Интенсивная фаза"
"RoleAction.DELETE","Removed","Removed","Удалено"
"RoleAction.EDIT","Edited","Edited","Исправлено"
"RoleAction.EXEC","Executed","Executed","Выполнено"
"RoleAction.NEW","New","New","Новый"
"SampleType.CSF","CSF","CSF","CSF- Cerebral Spinal Fluid - спиномозговая жидкость"
"SampleType.OTHER","Other","Other","Другой анализ (не мокроты)"
"SampleType.PUS","Pus","Pus","Гной"
"SampleType.SPUTUM","Sputum","Sputum","Мазок мокроты"
"SampleType.STOOL","Stool","Stool","Кал"
"SampleType.TISSUE","Tissue","Tissue","Тканевый слой"
"SampleType.URINE","Urine","Urine","Моча"
"SecDrugsReceived.NO","No","No","№"
"SecDrugsReceived.UNKNOWN","Unknown","Unknown","Неизвестен"
"SecDrugsReceived.YES","Yes","Yes","Да"
"ShippedReceivedDiffTypes.BOTH","With differences","With differences","С различиями"
"ShippedReceivedDiffTypes.NONE","No differences","No differences","Без различий"
"ShippedReceivedDiffTypes.RECEIVED_BT_SHIPPED","Received quantity greater than shipped quantity","Received quantity greater than shipped quantity","Полученое количество превосходит отправленное количество"
"ShippedReceivedDiffTypes.SHIPPED_BT_RECEIVED","Received quantity lower than shipped quantity","Received quantity lower than shipped quantity","Полученое количество меньше отправленного количества"
"SideEffectAction.DISCONTINUED","Treatment discontinued","Treatment discontinued","Лечение прекращено"
"SideEffectAction.NONE","None","None","Ни один из них"
"SideEffectAction.OTHER","Other","Other","Другое"
"SideEffectAction.REDUCED","Dose Reduced","Dose Reduced","Сокращенная доза"
"SideEffectAction.RE_CHALLENGE","Re-challenge","Re-challenge","Проба с повторным назначением препарата "
"SideEffectAction.SWITCH","Switch regimen","Switch regimen","Сменить режим лечения"
"SideEffectGrading.MILD","Mild","Mild","Легкий"
"SideEffectGrading.MODERATE","Moderate","Moderate","Средний"
"SideEffectGrading.SEVERE","Severe","Severe","Тяжелый"
"SideEffectOutcome.DEATH","Death","Death","Смерть"
"SideEffectOutcome.NOT_RESOLVED","Not resolved","Not resolved","Не решен"
"SideEffectOutcome.RESOLVED","Resolved","Resolved","Решен"
"SideEffectOutcome.RESOLVING","Resolving","Resolving","Решается"
"SideEffectOutcome.SEQUEALE","Resolved with sequelae","Resolved with sequelae","Решено с осложнением болезни"
"SideEffectOutcome.UNKNOWN","Unknown","Unknown","Неизвестен"
"SideEffectSeriousness.CONGENITAL_ANOMALY","Congenital Anomaly","Congenital Anomaly","Врожденная аномалия"
"SideEffectSeriousness.DEAD","Dead","Dead","Смерть"
"SideEffectSeriousness.DISABILITY","Disability","Disability","Инвалидность"
"SideEffectSeriousness.HOSPITALIZED","Hospitalized","Hospitalized","Госпитализирован"
"SideEffectSeriousness.LIFE_THREATNING","Life Threatening","Life Threatening","Угрожающее жизни"
"SideEffectSeriousness.NONE","None","None","Никакиe"
"SideEffectSeriousness.OTHER","Other","Other","Другое"
"Source","Medicine Source","Medicine Source","Источник поставки препаратов"
"SpecimenType","Specimen type","Specimen type","Тип пробы/препарата"
"StoragePosReport.bufferStorage","Available stock (months)","Available stock (months)","Запас на складе (в месяцах )"
"StoragePosReport.lastMovement","Last movement","Last movement","Дата  последнего движения"
"StoragePosReport.nextExpirationBatch","Next batch to expire","Next batch to expire","Партия препаратов с истекающим сроком хранения"
"Substance","Medicine generic name","Medicine generic name","Международное непатентованное название препарата"
"Substance.dstResultForm","Include in DST results form","Include in DST results form","Внести в форму результатов TЛЧ"
"Substance.prevTreatmentForm","Include in previous treatments form","Include in previous treatments form","Внести в форму предыдущего лечения"
"SystemConfig.adminMail","System administrator e-mail","System administrator e-mail","e-mail администратора системы"
"SystemConfig.allowRegPage","Allow user self-registration at login page","Allow user self-registration at login page","Разрешить саморегистрацию на странице входа"
"SystemConfig.jbossPath","JBOSS AS path","JBOSS AS path","JBOSS AS путь доступа"
"SystemConfig.jbossPath.hint","If not informed, system will check the JBOSS_HOME environment variable","If not informed, system will check the JBOSS_HOME environment variable","Если не информировать, система проверит переменные среды JBOSS_HOME"
"SystemConfig.otherLinks","Other links","Other links","Другие связки"
"SystemConfig.otherLinks.hint","Displayed on the page's footer. Each line is a link in the format label= url","Displayed on the page's footer. Each line is a link in the format label= url","Отображено на низу страницы подстрочных примечаний"
"SystemConfig.pageRootURL","Page root URL","Page root URL","Page root URL - источник указателя ресурса страницы"
"SystemConfig.pubDashboardWorkspace","Workspace to retrieve dashboard data from","Workspace to retrieve dashboard data from","Рабочее место чтоб извлечь данные из панеля инструментов"
"SystemConfig.systemMail","System e-mail","System e-mail","Электронная почта системы"
"SystemConfig.systemURL","System URL","System URL","System URL - система локатора ресурса"
"SystemConfig.ulaActive","User must accept ULA after login","User must accept ULA after login","Пользователь должен принять ULA после входа в систему"
"SystemConfig.updateSite","Update site URL","Update site URL","Обновление сайта URL"
"Tag","Case tag","Case tag","Маркировка случая"
"Tag.autogenerated","Auto generated tag","Auto generated tag","Автоматическая маркировка случая"
"Tag.consistencyCheck","Consistency Data Check","Consistency Data Check","Проверка достоверности данных "
"Tag.dailyUpdate","Daily update","Daily update","Каждодневное обновление"
"Tag.sqlCondition","SQL condition","SQL condition","состояние SQL "
"TbCase","TB/DR-TB Case","TB/DR-TB Case","Случай ТБ/МЛУ -ТБ"
"TbCase.age","Age","Age","Возраст"
"TbCase.ageAtReg","Age at registration","Age at registration","Возраст при регистрации"
"TbCase.aids","AIDS","AIDS","СПИД"
"TbCase.aidsART","is on ART","is on ART","Получает АРТ"
"TbCase.aidsCotrimoxasol","is on cotrimoxasol","is on cotrimoxasol","Получает котримоксазол"
"TbCase.aidsVCT","Received VCT","Received VCT","Прошел ДКТ"
"TbCase.alcoholAbuse","Alcohol abuse","Alcohol abuse","Употребляет алкоголь"
"TbCase.alcoholExcessiveUse","Alcohol excessive use","Alcohol excessive use","Злоупотребляет алкоголем"
"TbCase.anaemia","Anaemia","Anaemia","Анемия"
"TbCase.caseNumber","Case number","Case number","Номер случая"
"TbCase.closestContact","Closest contact","Closest contact","Контактное лицо для уведомления"
"TbCase.daysTreatPlanned","Prescribed treatment (days)","Prescribed treatment (days)","Назначенное лечение (дни)"
"TbCase.diabetes","Diabetes","Diabetes","Диабет"
"TbCase.diagnosisDate","Diagnosis date","Diagnosis date","Дата диагноза"
"TbCase.endIntensivePhase","End date of intensive phase","End date of intensive phase","Окончательная дата интенсивной фазы"
"TbCase.endTreatmentDate","Finish treatment date","Finish treatment date","Дата завершения лечения"
"TbCase.extrapulmonaryType","Extrapulmonary forms","Extrapulmonary forms","Формы внелегочного ТБ"
"TbCase.extrapulmonaryType2","Extrapulmonary forms (2)","Extrapulmonary forms (2)","Формы внелегочного ТБ (2)"
"TbCase.healthUnits","Treatment health units","Treatment health units","Лечебные учреждения"
"TbCase.iniTreatmentDate","Start treatment date","Start treatment date","Дата начала лечения"
"TbCase.lastBmuDateTbRegister","Previous BMU TB register date","Previous BMU TB register date","Дата предыдущей BMU ТБ регистрации "
"TbCase.lastBmuTbRegistNumber","Previous BMU TB register number","Previous BMU TB register number","Предыдущий BMU ТБ регистрационный номер"
"TbCase.malnutrition","Malnutrition","Malnutrition","Ненадлежащее питание"
"TbCase.movedSecondLineTreatment","Moved to second line treatment","Moved to second line treatment","Переведен на терапию второго ряда"
"TbCase.movedToIndividualized","Moved to individualized regimen","Moved to individualized regimen","Переведен на индивидуальный режим"
"TbCase.notifAddressChanged","Current address is different from the notification address?","Current address is different from the notification address?","Нынешний адрес проживания не совпадает с адресом, где случай ТБ был зарегистрирован?"
"TbCase.notificationUnit","Notification health unit","Notification health unit","Извещающее медицинское учреждение"
"TbCase.otherOutcome","Specify","Specify","О чем извещение?"
"TbCase.outcome","Outcome","Outcome","Исход"
"TbCase.outcomeDate","Outcome date","Outcome date","Дата исхода"
"TbCase.patientAge","Age","Age","Возраст"
"TbCase.patientContactName","Patient name","Patient name","Ф.И.О. пациента"
"TbCase.phoneNumber","Phone number","Phone number","Номер телефона"
"TbCase.pulmonaryType","Pulmonary forms","Pulmonary forms","Формы легочного ТБ"
"TbCase.regimen","Current regimen","Current regimen","Текущий режим"
"TbCase.regimenIni","Initial regimen","Initial regimen","Начальный режим"
"TbCase.registrationDate","Registration date","Registration date","Дата регистрации"
"TbCase.registrationDate.DRTB","Date entered in SL treatment TB register","Date entered in SL treatment TB register","Дата ввода в регистрационный журнал терапии второго ряда"
"TbCase.registrationDate.TB","Date entered in BMU TB register","Date entered in BMU TB register","Дата ввода в регистрационный журнал BMU TB"
"TbCase.registrationGroup","Registration group","Registration group","Тип ТБ случая"
"TbCase.registrationGroupOther","Specify:","Specify:","Какой тип ТБ?"
"TbCase.registrationNumber","Registration Code","Registration Code","Код регистрации"
"TbCase.rifampcinResistance","Rifampicin resistance","Rifampicin resistance","Резистентность к Рифампицину"
"TbCase.seclineDrugsReceived","Second-line drugs received previously","Second-line drugs received previously","Ранее принимал медикаменты второго ряда"
"TbCase.supervisedTreatment","Supervised Treatment","Supervised Treatment","Лечение под под наблюдением"
"TbCase.suspectRegistrationCode","Presumptive case registration code","Presumptive case registration code","Регистрационный номер подозреваемого"
"TbCase.tbContact","If the index case is known, check the box and enter patient�s name:","If the index case is known, check the box and enter patient�s name:","Контакт в очаге ТБ"
"TbCase.tobaccoUseWithin","Tobacco use within","Tobacco use within","Употребляет табачные изделия"
"TbCase.transferring","Transferring to another unit","Transferring to another unit","Переведен в другой отдел"
"TbCase.treatmentPeriod","Patient treatment","Patient treatment","Лечение пациента"
"TbCase.validated","Validated","Validated","Обосновано"
"TbCase.waitingValidation","Waiting validation","Waiting validation","Ожидает обоснования"
"TbField.ADJUSTMENT","Reason for Adjustment","Reason for Adjustment","Причина корректировки"
"TbField.COMORBIDITY","Comorbidity and associated factors","Comorbidity and associated factors","Сопутствующие заболевания и факторы"
"TbField.CONTACTCONDUCT","Conducts for contact","Conducts for contact","Действия для ведения контакта"
"TbField.CONTACTTYPE","Type of Contacts","Type of Contacts","Типы контактов"
"TbField.CULTURE_METHOD","Media used in culture exams","Media used in culture exams","Методика исследования культуры"
"TbField.DIAG_CONFIRMATION","Diagnosis confirmed by","Diagnosis confirmed by","Диагноз подтвержден"
"TbField.DST_METHOD","Method used in DST exams","Method used in DST exams","Методика проведения DST тестов"
"TbField.EDUCATIONAL_DEGREE","Educational degree","Educational degree","Образование"
"TbField.MOLECULARBIOLOGY_METHOD","Molecular Biology Method","Molecular Biology Method","Метод молекулярной биологии"
"TbField.PHYSICAL_EXAMS","Phisical exams","Phisical exams","Физикальное обследование"
"TbField.POSITION","Social status","Social status","Социальное плложение"
"TbField.REASON_XPERT_EXAM","Reason for geneXpert test","Reason for geneXpert test","Причина теста GeneXpert"
"TbField.REGISTRATION_CATEGORY","Category of supervision","Category of supervision","Категория наблюдения"
"TbField.SIDEEFFECT","Adverse Event Type","Adverse Event Type","Побочный эффект"
"TbField.SMEAR_METHOD","Method used in smear exams","Method used in smear exams","Методика исследования мазка мокроты"
"TbField.SYMPTOMS","Symptoms","Symptoms","Симптомы"
"TbField.TBDETECTION","TB Decection method","TB Decection method","Методика диагностирования ТБ"
"TbField.XRAYPRESENTATION","X-Ray Presentation","X-Ray Presentation","Рентгенологическое исследование"
"TbField.XRAY_LOCALIZATION","X-Ray Localizations","X-Ray Localizations","Локализация"
"Tbunit","TB Unit","TB Unit","Противотуберкулезный диспансер"
"Tbunit.address","Address","Address","Адрес"
"Tbunit.addressCont","Address (complement)","Address (complement)","Адрес (доп.)"
"Tbunit.authorizeOrder","Requires authorization before medicine order shipment","Requires authorization before medicine order shipment","Необходимо получить подтверждение до отправки препаратов"
"Tbunit.batchControl","Batch control","Batch control","Посерийный контроль"
"Tbunit.changeEstimatedQuantity","Allows to change the estimated quantity on orders","Allows to change the estimated quantity on orders","Возможность корректировать заказанное количество препаратов"
"Tbunit.drtbFacility","Unit manages DR-TB cases","Unit manages DR-TB cases","Центр лечения МЛУ-ТБ"
"Tbunit.firstLineSupplier","1st line medicine supplier","1st line medicine supplier","Поставщик препаратов первого ряда"
"Tbunit.locality","Locality","Locality","Административная единица"
"Tbunit.medManStartDate","Starting date of medicine management","Starting date of medicine management","Дата внедрения лекарственного менеджмента"
"Tbunit.medicineStorage","Unit stores medicines","Unit stores medicines","Учреждение, где хранятся препараты"
"Tbunit.medicineSupplier","Unit is a medicine supplier to other units","Unit is a medicine supplier to other units","Учреждение-поставщик препаратов"
"Tbunit.notificationUnit","Notification health unit","Notification health unit","Регистрирующее медучреждение"
"Tbunit.ntmFacility","Unit manages NTM cases","Unit manages NTM cases","медучреждение упраляет случаями нетуберкулезной микобактерии"
"Tbunit.numDaysOrder","Number of days for medicine consumption estimation","Number of days for medicine consumption estimation","Расчет количества дней приема препаратов"
"Tbunit.orderOverMinimum","Orders medicines over minimum buffer stock","Orders medicines over minimum buffer stock","Объем заказа превышает минимальный резервный запас"
"Tbunit.patientDispensing","Register dispensing by patient","Register dispensing by patient","Регистрируйте распределение лекарств по пациентам"
"Tbunit.secondLineSupplier","2nd line medicine supplier","2nd line medicine supplier","Поставщик препаратов второго ряда"
"Tbunit.tbFacility","Unit manages TB cases","Unit manages TB cases","Противотуберкулезный учреждение"
"Tbunit.treatmentHealthUnit","Treatment health unit","Treatment health unit","Лечебное  медучреждение"
"Tbunit.zipCode","ZIP","ZIP","индекс"
"Transfer.commentsFrom","Comments from the sending unit","Comments from the sending unit","Комментарии отправителя"
"Transfer.commentsTo","Comments from the receiving unit","Comments from the receiving unit","Комментарии получателя"
"Transfer.receivingDate","Receiving date","Receiving date","Дата получения"
"Transfer.shippingDate","Shipping date","Shipping date","Дата отправки"
"Transfer.unitFrom","From","From","От кого"
"Transfer.unitTo","To","To","Кому"
"TransferStatus","Transfer status","Transfer status","Статус доставки"
"TransferStatus.CANCELLED","Canceled","Canceled","Отмена"
"TransferStatus.DONE","Received","Received","Получение"
"TransferStatus.WAITING_RECEIVING","Waiting for receiving","Waiting for receiving","В ожидании получения"
"TreatmentDayOption.DOTS","DOT","DOT","DOT Лечение под непосредственным наблюдением"
"TreatmentDayOption.NOT_TAKEN","Not taken","Not taken","Не лечился"
"TreatmentDayOption.SELF_ADMIN","Self Administered","Self Administered","Принимал лекарства сам"
"TreatmentHealthUnit.endDate","Finish Date","Finish Date","Дата окончания"
"TreatmentHealthUnit.iniDate","Start date","Start date","Дата начала"
"Unit","Unit","Unit","медучреждение"
"Unit.authorizer","Order authorizer","Order authorizer","Ответственный за подтверждение"
"Unit.inventoryCloseDate","Inventory management closing date","Inventory management closing date","Последний день инвентаризации"
"Unit.inventoryStartDate","Starting date of inventory management","Starting date of inventory management","Дата начала инвентаризации"
"Unit.receiveFromManufacturer","Unit receives medicines directly from manufacturer","Unit receives medicines directly from manufacturer","Учреждение получает препараты от источников поставки"
"Unit.shipContactName","Contact name of shipping address","Contact name of shipping address","Адрес доставки и имя контактного лица"
"Unit.shipContactPhone","Contact phone of shipping address","Contact phone of shipping address","Адрес доставки и телефон контактного лица"
"Unit.supplier","Medicine supplier","Medicine supplier","Поставщик препаратов"
"User","User","User","Пользователь"
"User.email","e-mail","e-mail","эл.адрес"
"User.emailConfirmed","Waiting e-mail confirmation","Waiting e-mail confirmation","Ждем подтверждения эл.почты "
"User.language","Language","Language","Язык"
"User.login","Login","User name","Логин"
"User.mobile","User mobile message","User mobile message"," Сообщение потребителя по мобильному телефону"
"User.name","Name","Name","Имя"
"User.parentUser","Registered by","Registered by","Зарегистрировано (кем)"
"User.password","Password","Password","Пароль"
"User.passwordExpired","Password expired","Password expired","Срок дейстия пароля истек"
"User.sendSystemMessages","Send system messages in certain events","Send system messages in certain events","Send system messages in certain events"
"User.state","State","State","Статус"
"User.timeZone","Time zone","Time zone","Часовой пояс"
"User.ulaAccepted","ULA accepted","ULA accepted","Принята Универсальная Логическая Матрица"
"UserLogin.application","Browser information","Browser information","Характеристика браузера"
"UserLogin.ipAddress","IP address","IP address","IP адрес"
"UserLogin.loginDate","Login time","Login time","Дата входа"
"UserLogin.logoutDate","Logout time","Logout time","Дата выхода"
"UserPermission","Permission","Permission","Разрешение"
"UserPermission.allow","Allowed","Allowed","Позволено"
"UserPermission.canChange","Change","Change","Изменить"
"UserPermission.canExecute","Execute","Execute","Выполнить"
"UserPermission.canOpen","Open","Open","Открыть"
"UserPermission.grantPermission","Grant","Grant","Дать разрешение"
"UserProfile","User profile","User profile","Профиль пользователя"
"UserRole","Event","Event","Событие"
"UserState","User Status","User Status","Статус пользователя"
"UserState.ACTIVE","Active","Active","Активен"
"UserState.BLOCKED","Blocked","Blocked","Заблокирован"
"UserView","User View","User View","Допуск пользователя"
"UserView.ADMINUNIT","Administrative unit","Administrative unit","Административная единица"
"UserView.COUNTRY","Whole country","Whole country","Вся страна"
"UserView.LOCALITY","Locality","Locality","Район"
"UserView.REGION","Region","Region","Область"
"UserView.SELECTEDUNITS","Selected units...","Selected units...","Выбранные медучреждения"
"UserView.TBUNIT","Health Unit","Health Unit","Противотуберкулезное медучреждение"
"UserWorkspace","Workspace user","Workspace user","Рабочее место потребителя"
"UserWorkspace.administrator","User is system administrator","User is system administrator","Потребитель администратор системы"
"UserWorkspace.playOtherUnits","Perform activities of other units","Perform activities of other units","Выполнение функций других структур"
"UserWorkspace.profiles","User's profiles","User's profiles","Профиль пользователя"
"UserWorkspace.unit","User unit","User unit","Аппаратура пользователя"
"VisualAppearance","Visual appearance","Visual appearance","Внешний вид "
"VisualAppearance.BLOOD_STAINED","Blood Stained","Blood Stained","Окровавленный"
"VisualAppearance.MUCOPURULENT","Mucopurulent","Mucopurulent","Слизисто-гнойный"
"VisualAppearance.SALIVA","Saliva","Saliva","Слюна"
"Workspace","Workspace","Workspace","Рабочая область"
"Workspace.ExpiredMedAdjustType","Reason for adjustment of medicine expiring","Reason for adjustment of medicine expiring","Причина корректировки медикаментов с истечением срока"
"Workspace.allowDiagAfterTreatment","Allows diagnosis date to be after beginning of treatment","Allows diagnosis date to be after beginning of treatment","Разрешает датировать диагноз после начала терапии"
"Workspace.allowRegAfterDiagnosis","Allows registration date to be after diagnosis date","Allows registration date to be after diagnosis date","Разрешает датировать регистрацию после датирования диагноза"
"Workspace.alternateLocale","Alternate language","Alternate language","Дополнительный язык"
"Workspace.defaultLocale","Default language","Default language","Язык по умолчанию"
"Workspace.defaultTimeZone","Default time zone","Default time zone","Часовой пояс по умолчанию"
"Workspace.extension","Extension country code","Extension country code","Код страны"
"Workspace.maxStockOnHand","Maximum months of stock","Maximum months of stock","Максимальный запас в месяцах"
"Workspace.minStockOnHand","Minimum months of stock","Minimum months of stock","Минимальный запас в месяцах"
"Workspace.monthsToAlertExpiredMedicines","Early alert for medicine expiring","Early alert for medicine expiring","Раннее оповещение об истечении срока годности"
"Workspace.picture","Workspace picture","Workspace picture","Изображение рабочей области"
"Workspace.sendSystemMessages","Allow system to send messages to users on certain events","Allow system to send messages to users on certain events","Allow system to send messages to users on certain events"
"Workspace.startDRTBTreatBeforeValidation","Start DR-TB treatment before validation","Start DR-TB treatment before validation","Начать лечение  ЛУ-ТБ до валидации"
"Workspace.startTBTreatBeforeValidation","Start TB treatment before validation","Start TB treatment before validation","Начать лечение ТБ до валидации"
"XRayBaseline","Baseline x-ray","Baseline x-ray","Начальная  рентгенограмма"
"XRayBaseline.CAVITARY","Cavitary","Cavitary","Кавернозный"
"XRayBaseline.INFILTRATE","Infiltrate","Infiltrate","Инфильтрат"
"XRayBaseline.NORMAL","Normal","Normal","Нормальный"
"XRayBaseline.ONGOING","Pending","Pending","Результаты ожидаются"
"XRayBaseline.OTHER","Other","Other","Другое"
"XRayEvolution","Succeding x-ray","Succeding x-ray","Динамика после рентгенограммы"
"XRayEvolution.IMPROVED","Improved","Improved","Улучшение"
"XRayEvolution.NA","No data to compare","No data to compare","Нет данных для сравнения"
"XRayEvolution.PROGRESSED","Progressed","Progressed","Ухудшение"
"XRayEvolution.STABLE","Stable","Stable","Стабильное"
"XRayResult","X-Ray result","X-Ray result","Результат рентгенограммы"
"XRayResult.NEGATIVE","Negative dynamics","Negative dynamics","Негативная динамика"
"XRayResult.NO_CHANGE","No changes","No changes","Без изменений"
"XRayResult.POSITIVE","Positive dynamics","Positive dynamics","Позитивная динамика"
"XRayResult.STABILIZED","Stabilized","Stabilized","Стабилизация"
"XpertResult","Xpert result","Xpert result","результаты Xpert"
"XpertResult.ERROR","Error","Error","Ошибка"
"XpertResult.INVALID","Invalid","Invalid","Недействительный"
"XpertResult.INVALID_NORESULT_ERROR","Invalid/No result/Error","Invalid/No result/Error","Недействительный/нет результата/ошибка"
"XpertResult.NO_RESULT","No result","No result","Нет результата"
"XpertResult.ONGOING","Pending","Pending","В процессе"
"XpertResult.TB_DETECTED_RIF_DETECTED","TB detected - RIF Resistance Detected","TB detected - RIF Resistance Detected","ТБ выявлен - Резистентность на  RIF выявлена"
"XpertResult.TB_DETECTED_RIF_NOT_DETECTED","TB detected - RIF Resistance Indeterminate","TB detected - RIF Resistance Indeterminate","ТБ выявлен - Резистентность на  RIF неопределена"
"XpertResult.TB_DETECTED_RIF_INDETERMINATE","TB detected - RIF Resistance Not Detected","TB detected - RIF Resistance Not Detected","ТБ звыявлен - Резистентность на  RIF не выявлена"
"XpertResult.TB_NOT_DETECTED","TB not detected","TB not detected","ТБ не  выявлен"
"XpertResult.rifresult","Rifampicin result","Rifampicin result","Результат Рифампицина "
"action.accept","Accept","Accept","Принять"
"action.add","Add","Add","Добавить"
"action.added","Added","Added","Добавлено"
"action.cancel","Cancel","Cancel","Отменить"
"action.changed","Changed","Changed","Изменен"
"action.clear","Clear","Clear","Ясно"
"action.close","Close","Close","Закрыть"
"action.continue","Continue","Continue","Продолжить"
"action.copy","Copy","Copy","Копировать"
"action.create","Create","Create","Создать"
"action.decline","Decline","Decline","Отказаться"
"action.delete","Delete","Delete","Удалить"
"action.edit","Edit","Edit","Редактировать"
"action.enter","Enter","Enter","Войти  в систему"
"action.entering","Entering...","Entering...","Вход"
"action.enterpwd","Create a password","Create a password","Создать пароль"
"action.exit","Exit","Exit","Выйти"
"action.export","Export","Export","Экспорт"
"action.generate","Generate","Generate","Создать"
"action.go","Go!","Go!","Ход"
"action.hidedetails","Hide details","Hide details","Скрыть детали"
"action.import","Import","Import","Импортировать"
"action.logout","Logout","Logout","Выйти из системы"
"action.print","Print this page","Print this page","Напечатать страницу"
"action.refresh","Refresh","Refresh","Обновить"
"action.removed","Removed","Removed","Удален"
"action.reopen","Reopen","Reopen","овторно открыть"
"action.resetpwd","Reset your password","Reset your password","Изменить пароль"
"action.return","Return","Return","Вернуть"
"action.save","Save","Save","Сохранить"
"action.saveas","Save as","Save as","Сохранить как"
"action.search","Search","Search","Найти"
"action.select","Select","Select","Выбрать"
"action.selectall","Select all","Select all","Выбрать все"
"action.showdetails","Show details","Show details","Показать подробно"
"action.submit","Submit","Submit","Отправить"
"action.update","Update","Update","Обновить"
"admin","Administration","Administration","Пользователь"
"admin.adminunits","Administrative units","Administrative units","Административные единицы"
"admin.adminunits.countrystructure","Designation","Designation","Админ.ед."
"admin.adminunits.create","Administrative unit created","Administrative unit created","Создан административный блок"
"admin.adminunits.delerror1","User cannot delete its own administrative unit","User cannot delete its own administrative unit","Пользователь не может удалить свой административный блок"
"admin.adminunits.delete","Administrative unit deleted","Administrative unit deleted","Административный блок удален"
"admin.adminunits.editparent","modify parent unit","modify parent unit","Модифицируйте модуль родителя"
"admin.adminunits.edt","Edit administrative unit data","Edit administrative unit data","Редактировать данные админ.единицы"
"admin.adminunits.hidecs","Hide country structure","Hide country structure","Скрыть структуру страны"
"admin.adminunits.maxlevel","Maximmum level reached","Maximmum level reached","Достигнут максимальный уровень"
"admin.adminunits.new","New administrative unit","New administrative unit","Новая админ.единица"
"admin.adminunits.noparentunit","no parent unit","no parent unit","Нет родительского модуля"
"admin.adminunits.parentunit","Parent unit","Parent unit","Родительский модуль"
"admin.adminunits.sameasparent","The administrative unit can't be its own parent","The administrative unit can't be its own parent","Административный модуль не может быть собственным родительским модулем "
"admin.adminunits.showcs","Show country structure","Show country structure","Показать структуру страны"
"admin.adminunits.subunits","Subunits","Subunits","Подъединицы"
"admin.adminunits.update","Administrative unit updated","Administrative unit updated","Административный блок обнавлен"
"admin.ageranges","Age ranges","Age ranges","Возрастной диапазон"
"admin.ageranges.edt","Edit age range","Edit age range","Изменить возрастной диапазон"
"admin.ageranges.msgerror1","The initial age must be less than the final age","The initial age must be less than the final age","Начальный возраст  должен быть меньше конечного"
"admin.ageranges.msgerror2","There is already an age range recorded with the same values","There is already an age range recorded with the same values","Такой возрастной диапазон уже существует"
"admin.ageranges.new","New age range","New age range","Новый возрастной диапазон"
"admin.auorg","Administrative Unit Organization","Administrative Unit Organization","Структура административной единицы"
"admin.auorg.edt","Edit administrative unit division","Edit administrative unit division","Редактировать структуру административной единицы"
"admin.auorg.new","New administrative unit division","New administrative unit division","Новая административная структура"
"admin.checkupdate","Check for update","Check for update","Искать обновление"
"admin.checkupdate.msg1","Checking for update","Checking for update","Ищет обновление"
"admin.checkupdate.msg2","Your system is up to date","Your system is up to date","Ваша система обновлена"
"admin.checkupdate.msg3","There is a new version available","There is a new version available","Доступна новая версия"
"admin.checkupdate.msg4","Error when retrieving information","Error when retrieving information","Ошибка при извлечении информации "
"admin.clinicalforms","Clinical forms","Clinical forms","Клинические формы"
"admin.clinicalforms.edt","Edit clinical form","Edit clinical form","Редактировать клинические формы"
"admin.clinicalforms.new","New clinical form","New clinical form","Новая клиническая форма"
"admin.config","Settings","Settings","Настройки"
"admin.countrystr","Country structure","Country structure","Структура страны"
"admin.countrystr.create","New level in country structure","New level in country structure","Новый уровень в структуре страны"
"admin.countrystr.delete","Country structure level deleted","Country structure level deleted","Уровень структуры страны удален"
"admin.countrystr.update","Country structure level edited","Country structure level edited","Уровень структуры страны корректирован"
"admin.desc","Allows to manage the system in order to add, remove and change users, health system structure, medicines, treatment regimens and other features","Allows to manage the system in order to add, remove and change users, health system structure, medicines, treatment regimens and other features","Позволяет управлять системой - регистрировать, удалять и изменять учетные записи пользователей, вносить изменения в структуру медицинских учреждений, распределение лекарств, применение протоколов лечения и др."
